iter	Passed	Remaining
916	14434	1306
917	14453	1291
918	14472	1275
919	14487	1259
920	14499	1243
921	14510	1227
922	14523	1211
923	14541	1196
924	14560	1180
925	14580	1165
926	14595	1149
927	14608	1133
928	14620	1117
929	14633	1101
930	14652	1085
931	14670	1070
932	14688	1054
933	14703	1039
934	14714	1022
935	14727	1007
936	14743	991
937	14761	975
938	14778	960
939	14798	944
940	14810	928
941	14822	912
942	14835	896
943	14849	880
944	14867	865
945	14885	849
946	14904	834
947	14922	818
948	14935	802
949	14947	786
950	14960	770
951	14976	755
952	14996	739
953	15017	724
954	15033	708
955	15045	692
956	15056	676
957	15069	660
958	15087	645
959	15105	629
960	15123	613
961	15139	598
962	15151	582
963	15164	566
964	15177	550
965	15196	534
966	15214	519
967	15238	503
968	15250	487
969	15262	472
970	15275	456
971	15292	440
972	15310	424
973	15329	409
974	15348	393
975	15366	377
976	15385	362
977	15405	346
978	15436	331
979	15454	315
980	15465	299
981	15477	283
982	15489	267
983	15505	252
984	15523	236
985	15542	220
986	15560	204
987	15572	189
988	15583	173
989	15594	157
990	15611	141
991	15629	126
992	15646	110
993	15665	94
994	15677	78
995	15689	63
996	15701	47
997	15717	31
998	15735	15
999	15754	0
